"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","GGEXP","TOT","PC_GDP","A","2016",50.0713225195357,
"AUT","GGEXP","TOT","PC_GDP","A","2017",49.2988840456109,
"AUT","GGEXP","TOT","PC_GDP","A","2018",48.7010991403103,
"AUT","GGEXP","TOT","PC_GDP","A","2019",48.4224056568531,
"BEL","GGEXP","TOT","PC_GDP","A","2016",53.1177419921118,
"BEL","GGEXP","TOT","PC_GDP","A","2017",52.0239406754431,
"BEL","GGEXP","TOT","PC_GDP","A","2018",52.2043373749591,
"BEL","GGEXP","TOT","PC_GDP","A","2019",51.8397894264418,
"CZE","GGEXP","TOT","PC_GDP","A","2016",39.7510211339762,
"CZE","GGEXP","TOT","PC_GDP","A","2017",38.9800856744313,
"CZE","GGEXP","TOT","PC_GDP","A","2018",40.6028469415389,
"CZE","GGEXP","TOT","PC_GDP","A","2019",41.0095904425779,
"DNK","GGEXP","TOT","PC_GDP","A","2016",52.4786358907725,
"DNK","GGEXP","TOT","PC_GDP","A","2017",50.5495311810981,
"DNK","GGEXP","TOT","PC_GDP","A","2018",50.5522915616271,
"DNK","GGEXP","TOT","PC_GDP","A","2019",49.605100660943,
"FIN","GGEXP","TOT","PC_GDP","A","2016",55.6478084572311,
"FIN","GGEXP","TOT","PC_GDP","A","2017",53.6343188938626,
"FIN","GGEXP","TOT","PC_GDP","A","2018",53.4026076378776,
"FIN","GGEXP","TOT","PC_GDP","A","2019",53.2975005935101,
"FRA","GGEXP","TOT","PC_GDP","A","2016",56.6858493847043,
"FRA","GGEXP","TOT","PC_GDP","A","2017",56.5035377204491,
"FRA","GGEXP","TOT","PC_GDP","A","2018",55.6257209180699,
"FRA","GGEXP","TOT","PC_GDP","A","2019",55.2974501925022,
"DEU","GGEXP","TOT","PC_GDP","A","2016",44.3537263058499,
"DEU","GGEXP","TOT","PC_GDP","A","2017",44.0982076176251,
"DEU","GGEXP","TOT","PC_GDP","A","2018",44.3070970883588,
"DEU","GGEXP","TOT","PC_GDP","A","2019",44.8584219845394,
"GRC","GGEXP","TOT","PC_GDP","A","2016",49.64692617729,
"GRC","GGEXP","TOT","PC_GDP","A","2017",48.4462195054278,
"GRC","GGEXP","TOT","PC_GDP","A","2018",48.4757862182954,
"GRC","GGEXP","TOT","PC_GDP","A","2019",47.4923902732697,
"HUN","GGEXP","TOT","PC_GDP","A","2016",46.7876680845503,
"HUN","GGEXP","TOT","PC_GDP","A","2017",46.4399562367461,
"HUN","GGEXP","TOT","PC_GDP","A","2018",45.8419112492325,
"HUN","GGEXP","TOT","PC_GDP","A","2019",45.5545005629004,
"ISL","GGEXP","TOT","PC_GDP","A","2016",46.5249026841057,
"ISL","GGEXP","TOT","PC_GDP","A","2017",44.4938327890611,
"ISL","GGEXP","TOT","PC_GDP","A","2018",43.9195328979288,
"ISL","GGEXP","TOT","PC_GDP","A","2019",43.3960934080977,
"IRL","GGEXP","TOT","PC_GDP","A","2016",28.3274191017071,
"IRL","GGEXP","TOT","PC_GDP","A","2017",26.582228496339,
"IRL","GGEXP","TOT","PC_GDP","A","2018",25.6980435843152,
"IRL","GGEXP","TOT","PC_GDP","A","2019",24.4820758103397,
"ITA","GGEXP","TOT","PC_GDP","A","2016",49.0783982986541,
"ITA","GGEXP","TOT","PC_GDP","A","2017",48.7625538928873,
"ITA","GGEXP","TOT","PC_GDP","A","2018",48.3897063505791,
"ITA","GGEXP","TOT","PC_GDP","A","2019",48.5020375947896,
"JPN","GGEXP","TOT","PC_GDP","A","2016",38.6484903684038,
"JPN","GGEXP","TOT","PC_GDP","A","2017",38.3441607165781,
"JPN","GGEXP","TOT","PC_GDP","A","2018",38.3242872574388,
"JPN","GGEXP","TOT","PC_GDP","A","2019",38.6615104754065,
"KOR","GGEXP","TOT","PC_GDP","A","2016",30.2959892223002,
"KOR","GGEXP","TOT","PC_GDP","A","2017",30.2707275084761,
"KOR","GGEXP","TOT","PC_GDP","A","2018",31.1472450161274,
"LUX","GGEXP","TOT","PC_GDP","A","2016",40.0448028208335,
"LUX","GGEXP","TOT","PC_GDP","A","2017",41.2741308121552,
"LUX","GGEXP","TOT","PC_GDP","A","2018",42.1261442963168,
"LUX","GGEXP","TOT","PC_GDP","A","2019",42.8631009939595,
"LUX","GGEXP","TOT","PC_GDP","A","2020",47.7314190186325,
"NLD","GGEXP","TOT","PC_GDP","A","2016",43.5802449963788,
"NLD","GGEXP","TOT","PC_GDP","A","2017",42.4486483703766,
"NLD","GGEXP","TOT","PC_GDP","A","2018",42.2959300350006,
"NLD","GGEXP","TOT","PC_GDP","A","2019",41.8697382095922,
"NOR","GGEXP","TOT","PC_GDP","A","2016",51.533819559298,
"NOR","GGEXP","TOT","PC_GDP","A","2017",50.4773649913728,
"NOR","GGEXP","TOT","PC_GDP","A","2018",48.822589268128,
"NOR","GGEXP","TOT","PC_GDP","A","2019",51.4695859983276,
"POL","GGEXP","TOT","PC_GDP","A","2016",41.106967743805,
"POL","GGEXP","TOT","PC_GDP","A","2017",41.2718134920735,
"POL","GGEXP","TOT","PC_GDP","A","2018",41.5355109813321,
"POL","GGEXP","TOT","PC_GDP","A","2019",41.7283890320901,
"PRT","GGEXP","TOT","PC_GDP","A","2016",44.8367122855843,
"PRT","GGEXP","TOT","PC_GDP","A","2017",45.3680202948539,
"PRT","GGEXP","TOT","PC_GDP","A","2018",43.2404165928549,
"PRT","GGEXP","TOT","PC_GDP","A","2019",42.4417731912481,
"SVK","GGEXP","TOT","PC_GDP","A","2016",42.6775278996589,
"SVK","GGEXP","TOT","PC_GDP","A","2017",41.4197457653764,
